"publication","Ale","Chris","Harriet","Lewis","Joe","Bethany","Erin","Will","Bruna"
"PBDB #238 - A. M. Bush, R.K. Bambach. 2015. Sustained Mesozoic-Cenozoic diversification of marine Metazoa: a consistent signal from the fossil record. Geology 43:979-982. DOI: 10.1130/G37162.1.","Yes","No","Yes","No","No","No","Yes","No","No"
"PBDB #240 - J. L. Cantalapiedra, M. Hernández Fernández, B. Azanza, J. Morales. 2015. Congruent phylogenetic and fossil signatures of mammalian diversification dynamics driven by Tertiary abiotic change. Evolution 69:2941-2953. DOI: 10.1111/evo.12787.","Yes","No","No","No","Yes","No","Yes","No","No"
"PBDB #276 - P. Vázquez, M.E. Clapham. 2017. Extinction selectivity among marine fishes during multi-stressor global change in the end-Permian and end-Triassic crises. Geology 45:395-398. DOI: 10.1130/G38875.1.","Yes","No","No","No","No","No","No","Yes","No"
"PBDB #306 - F.F. Zhang, S.J. Romaniello, T.J. Algeo, K.V. Lau, M.E. Clapham, S. Richoz, A.D. Herrmann, H. Smith, H. Horacek, A.D. Anbar. 2018. Multiple episodes of extensive marine anoxia linked to global warming and continental weathering following the latest Permian mass extinction. Science Advances 4:e1602921. DOI: 10.1126/sciadv.1602921.","Yes","No","No","No","No","No","No","No","No"
"PBDB #340 - L.A. Jones, P.D. Mannion, A. Farnsworth, P.J. Valdes, S.-J. Kelland, P.A. Allison. 2019. Coupling of palaeontological and neontological reef coral data improves forecasts of biodiversity responses under global climatic change. Royal Society Open Science 6:182111. DOI: 10.1098/rsos.182111.","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No"
"PBDB #342 - A.A. Abdelhady, B. Seuss, H.F. Hassan. 2019. Stratigraphic ranking of selected invertebrate fossils: a quantitative approach at different temporal and geographic scales. Palaeontologia Electronica 22:51. DOI: 10.26879/912.","Yes","No","No","No","Yes","No","No","Yes","No"
"PBDB #343 - J. Barido-Sottani, G. Aguirre-Fernández, M. Hopkins, T. Stadler and R.C.M. Warnock. 2019. Ignoring stratigraphic age uncertainty leads to erroneous estimates of species divergence times under the fossilized birth-death process. Proceedings of the Royal Society B 286:20190685. DOI: 10.1098/rspb.2019.0685.","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No"
"PBDB #351 - D. Balseiro, M.G. Powell. 2020. Carbonate collapse and the Late Paleozoic Ice Age marine biodiversity crisis. Geology 48:118-122. DOI: 10.1130/G46858.1.","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"PBDB #363 - R.A. Close, R.B.J. Benson, J. Alroy, M.T. Carrano, T.J. Cleary, E.M. Dunne, P.D. Mannion, M.D. Uhen, R.J. Butler. 2020. The apparent exponential radiation of Phanerozoic land vertebrates is an artefact of spatial sampling biases. Proceedings of the Royal Society B 287:20200372. DOI: 10.1098/rspb.2020.0372.","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No"
"PBDB #400 - L. B. Whitenack, S. L. Kim, E. C. Sibert. 2022. Bridging the Gap Between Chondrichthyan Paleobiology and Biology. Biology of Sharks and Their Relatives (3rd edition).","No","No","No","No","No","No","No","No","No"
"PBDB #409 - C. R. Congreve, M. E. Patzkowsky, P. J. Wagner. 2021. An Early Burst in brachiopod evolution corresponding with significant climatic shifts during the Great Ordovician Biodiversification Event. Proceedings of the Royal Society B 288:20211450. DOI: 10.1098/rspb.2021.1450.","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes"
"PBDB #414 - S. E. Peters, D. P. Quinn, J. M. Husson, R. R. Gaines. 2022. Macrostratigraphy: insights into cyclic and secular evolution of the Earth-life system. Annual Review of Earth and Planetary Sciences 50:419-449. DOI: 10.1146/annurev-earth-032320-081427.","No","No","No","No","No","No","No","No","No"
"PBDB #463 - A. A. Abdelhady, M. S. Ahmed, A. Ali, A. M. T. Elewa. 2023. Triassic/Jurassic bivalve biodiversity dynamics: biotic versus abiotic factors. Arabian Journal of Geosciences 16:546. DOI: 10.1007/s12517-023-11657-x.","Yes","No","No","No","No","No","No","No","No"
"PBDB #498 - R. D. C. Bicknell, P. M. Smith, A. Goodman, I. Schoon, Y. Y. Zhen. In Press. Novel pterygotid sea scorpions from the Silurian and Devonian of Gondwana. Gondwana Research.","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
